mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		{	Ab	I									{		0	0				
2	1	0	0	3/4	2	1		Ab.ii6(2)	Ab	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
3	2	5/8	5/8	3/4	2	1		ii6	Ab	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	0	0	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	5	0	0	3/4	2	1		V7(4)	Ab	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
6	5	1/4	1/4	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	0	0	3/4	2	1		V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
8	7	1/4	1/4	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	1		I|PAC	Ab	I		I	I					PAC		M	0	0	0, 4, 1		0	0
9	8	1/4	1/4	3/4	2	1		}	Ab	I									}		0	0				
10	8	0	1/2	3/4	2	1		{	Ab	I									{		0	0				
11	9	0	0	3/4	2	1		V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
12	10	0	0	3/4	2	1		ii(64)	Ab	I		ii(64)	ii			64				m	0	0	2, 1, 5		2	2
12	10	1/4	1/4	3/4	2	1		ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
13	11	0	0	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	12	0	0	3/4	2	1		I(64)	Ab	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
14	12	1/4	1/4	3/4	2	1		I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
15	13	0	0	3/4	2	1		ii6(2)	Ab	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
15	13	5/8	5/8	3/4	2	1		ii6	Ab	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	14	0	0	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	15	0	0	3/4	2	1		V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
17	15	1/4	1/4	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	0	0	3/4	2	1		I|PAC	Ab	I		I	I					PAC		M	0	0	0, 4, 1		0	0
18	16	1/4	1/4	3/4	2	1		}	Ab	I									}		0	0				
