	id	D	no	dance	path
125	125	146	16	walzer	146/D146walzer16.mscx
126	126	146	17	walzer	146/D146walzer17.mscx
127	127	146	18	walzer	146/D146walzer18.mscx
128	128	146	19	walzer	146/D146walzer19.mscx
129	129	146	20	walzer	146/D146walzer20a.mscx
120	130	146	20	trio	146/D146trio20b.mscx
130	131	158	1	ecossaise	158/D158ecossaise01.mscx
131	132	299	2	ecossaise	299/D299ecossaise02.mscx
132	133	299	3	ecossaise	299/D299ecossaise03.mscx
133	134	299	4	ecossaise	299/D299ecossaise04.mscx
134	135	299	5	ecossaise	299/D299ecossaise05.mscx
135	136	299	6	ecossaise	299/D299ecossaise06.mscx
136	137	299	7	ecossaise	299/D299ecossaise07.mscx
137	138	299	8	ecossaise	299/D299ecossaise08.mscx
138	139	299	9	ecossaise	299/D299ecossaise09.mscx
139	140	299	10	ecossaise	299/D299ecossaise10.mscx
140	141	299	11	ecossaise	299/D299ecossaise11.mscx
141	142	299	12	ecossaise	299/D299ecossaise12.mscx
142	143	334	1	menuett	334/D334menuett01a.mscx
143	144	334	1	trio	334/D334trio01b.mscx
144	145	335	1	menuett	335/D335menuett01a.mscx
145	146	335	1	trioi	335/D335trioI01b.mscx
146	147	335	1	trioii	335/D335trioII01c.mscx
147	148	336	1	menuett	336/D336menuett01a.mscx
148	149	336	1	trio	336/D336trio01b.mscx
149	150	365	1	walzer	365/D365walzer01.mscx
150	151	365	2	walzer	365/D365walzer02.mscx
151	152	365	3	walzer	365/D365walzer03.mscx
152	153	365	4	walzer	365/D365walzer04.mscx
153	154	365	5	walzer	365/D365walzer05.mscx
154	155	365	6	walzer	365/D365walzer06.mscx
155	156	365	7	walzer	365/D365walzer07.mscx
156	157	365	8	walzer	365/D365walzer08.mscx
157	158	365	9	walzer	365/D365walzer09.mscx
158	159	365	10	walzer	365/D365walzer10.mscx
159	160	365	11	walzer	365/D365walzer11.mscx
160	161	365	12	walzer	365/D365walzer12.mscx
161	162	365	13	walzer	365/D365walzer13.mscx
162	163	365	14	walzer	365/D365walzer14.mscx
163	164	365	15	walzer	365/D365walzer15.mscx
164	165	365	16	walzer	365/D365walzer16.mscx
165	166	365	17	walzer	365/D365walzer17.mscx
166	167	365	18	walzer	365/D365walzer18.mscx
167	168	365	19	walzer	365/D365walzer19.mscx
168	169	365	20	walzer	365/D365walzer20.mscx
169	170	365	21	walzer	365/D365walzer21.mscx
170	171	365	22	walzer	365/D365walzer22.mscx
171	172	365	23	walzer	365/D365walzer23.mscx
172	173	365	24	walzer	365/D365walzer24.mscx
173	174	365	25	walzer	365/D365walzer25.mscx
174	175	365	26	walzer	365/D365walzer26.mscx
175	176	365	27	walzer	365/D365walzer27.mscx
176	177	365	28	walzer	365/D365walzer28.mscx
177	178	365	29	walzer	365/D365walzer29.mscx
178	179	365	30	walzer	365/D365walzer30.mscx
179	180	365	31	walzer	365/D365walzer31.mscx
180	181	365	32	walzer	365/D365walzer32.mscx
181	182	365	33	walzer	365/D365walzer33.mscx
182	183	365	34	walzer	365/D365walzer34.mscx
183	184	365	35	walzer	365/D365walzer35.mscx
184	185	365	36	walzer	365/D365walzer36.mscx
185	186	366	1	ländler	366/D366ländler01.mscx
186	187	366	2	ländler	366/D366ländler02.mscx
187	188	366	3	ländler	366/D366ländler03.mscx
188	189	366	4	ländler	366/D366ländler04.mscx
189	190	366	5	ländler	366/D366ländler05.mscx
190	191	366	6	ländler	366/D366ländler06.mscx
191	192	366	7	ländler	366/D366ländler07.mscx
192	193	366	8	ländler	366/D366ländler08.mscx
193	194	366	9	ländler	366/D366ländler09.mscx
194	195	366	10	ländler	366/D366ländler10.mscx
195	196	366	11	ländler	366/D366ländler11.mscx
196	197	366	12	ländler	366/D366ländler12.mscx
197	198	366	13	ländler	366/D366ländler13.mscx
198	199	366	14	ländler	366/D366ländler14.mscx
199	200	366	15	ländler	366/D366ländler15.mscx
200	201	366	16	ländler	366/D366ländler16.mscx
201	202	366	17	ländler	366/D366ländler17.mscx
202	203	378	1	ländler	378/D378ländler01.mscx
203	204	378	2	ländler	378/D378ländler02.mscx
204	205	378	3	ländler	378/D378ländler03.mscx
205	206	378	4	ländler	378/D378ländler04.mscx
206	207	378	5	ländler	378/D378ländler05.mscx
207	208	378	6	ländler	378/D378ländler06.mscx
208	209	378	7	ländler	378/D378ländler07.mscx
209	210	378	8	ländler	378/D378ländler08.mscx
210	211	380	1	menuett	380/D380menuett01a.mscx
211	212	380	1	trioi	380/D380trioI01b.mscx
213	213	380	1	trioii	380/D380trioII01c.mscx
212	214	380	2	menuett	380/D380menuett02a.mscx
215	215	380	2	trioi	380/D380trioI02b.mscx
216	216	380	2	trioii	380/D380trioII02c.mscx
214	217	380	3	menuett	380/D380menuett03.mscx
217	218	420	1	deutscher	420/D420deutscher01.mscx
218	219	420	2	deutscher	420/D420deutscher02.mscx
219	220	420	3	deutscher	420/D420deutscher03.mscx
220	221	420	4	deutscher	420/D420deutscher04.mscx
221	222	420	5	deutscher	420/D420deutscher05.mscx
222	223	420	6	deutscher	420/D420deutscher06.mscx
223	224	420	7	deutscher	420/D420deutscher07.mscx
224	225	420	8	deutscher	420/D420deutscher08.mscx
225	226	420	9	deutscher	420/D420deutscher09.mscx
226	227	420	10	deutscher	420/D420deutscher10.mscx
227	228	420	11	deutscher	420/D420deutscher11.mscx
228	229	420	12	deutscher	420/D420deutscher12.mscx
230	230	421	2	ecossaise	421/D421ecossaise02.mscx
231	231	421	3	ecossaise	421/D421ecossaise03.mscx
232	232	421	4	ecossaise	421/D421ecossaise04.mscx
233	233	421	5	ecossaise	421/D421ecossaise05.mscx
234	234	421	6	ecossaise	421/D421ecossaise06.mscx
235	235	511	1	ecossaise	511/D511ecossaise01.mscx
236	236	529	1	ecossaise	529/D529ecossaise01.mscx
237	237	529	2	ecossaise	529/D529ecossaise02.mscx
238	238	529	4	ecossaise	529/D529ecossaise04.mscx
239	239	529	5	ecossaise	529/D529ecossaise05.mscx
240	240	529	6	ecossaise	529/D529ecossaise06.mscx
241	241	529	7	ecossaise	529/D529ecossaise07.mscx
242	242	529	8	ecossaise	529/D529ecossaise08.mscx
243	243	600	1	menuett	600/D600menuett01.mscx
244	244	610	1	trio	610/D610trio01.mscx
245	245	643	1	deutscher	643/D643deutscher01.mscx
246	246	643	1	ecossaise	643/D643ecossaise01.mscx
248	247	681	1	ländler	681/D681ländler01.mscx
249	248	681	2	ländler	681/D681ländler02.mscx
250	249	681	3	ländler	681/D681ländler03.mscx
251	250	681	4	ländler	681/D681ländler04.mscx
252	251	681	5	ländler	681/D681ländler05.mscx
253	252	681	6	ländler	681/D681ländler06.mscx
254	253	681	7	ländler	681/D681ländler07.mscx
255	254	681	8	ländler	681/D681ländler08.mscx
256	255	697	1	ecossaise	697/D697ecossaise01.mscx
257	256	697	2	ecossaise	697/D697ecossaise02.mscx
258	257	697	3	ecossaise	697/D697ecossaise03.mscx
259	258	697	4	ecossaise	697/D697ecossaise04.mscx
260	259	697	5	ecossaise	697/D697ecossaise05.mscx
261	260	718	1	walzer	718/D718walzer01.mscx
262	261	722	1	deutscher	722/D722deutscher01.mscx
264	262	734	1	ländler	734/D734ländler01.mscx
266	263	734	2	ländler	734/D734ländler02.mscx
267	264	734	3	ländler	734/D734ländler03.mscx
268	265	734	4	ländler	734/D734ländler04.mscx
269	266	734	5	ländler	734/D734ländler05.mscx
270	267	734	6	ländler	734/D734ländler06.mscx
271	268	734	7	ländler	734/D734ländler07.mscx
272	269	734	8	ländler	734/D734ländler08.mscx
273	270	734	9	ländler	734/D734ländler09.mscx
274	271	734	10	ländler	734/D734ländler10.mscx
275	272	734	11	ländler	734/D734ländler11.mscx
276	273	734	12	ländler	734/D734ländler12.mscx
277	274	734	13	ländler	734/D734ländler13.mscx
278	275	734	14	ländler	734/D734ländler14.mscx
279	276	734	15	ländler	734/D734ländler15.mscx
280	277	734	16	ländler	734/D734ländler16.mscx
263	278	734	1	ecossaise	734/D734ecossaise01.mscx
265	279	734	2	ecossaise	734/D734ecossaise02.mscx
282	280	735	1	galopp	735/D735galopp01a.mscx
283	281	735	1	trio	735/D735trio01b.mscx
281	282	735	1	ecossaise	735/D735ecossaise01.mscx
284	283	735	2	ecossaise	735/D735ecossaise02.mscx
285	284	735	3	ecossaise	735/D735ecossaise03.mscx
286	285	735	4	ecossaise	735/D735ecossaise04.mscx
287	286	735	5	ecossaise	735/D735ecossaise05.mscx
288	287	735	6	ecossaise	735/D735ecossaise06.mscx
289	288	735	7	ecossaise	735/D735ecossaise07.mscx
290	289	735	8	ecossaise	735/D735ecossaise08.mscx
291	290	769	1	deutscher	769/D769deutscher01.mscx
292	291	769	2	deutscher	769/D769deutscher02.mscx
293	292	779	1	walzer	779/D779walzer01.mscx
294	293	779	2	walzer	779/D779walzer02.mscx
295	294	779	3	walzer	779/D779walzer03.mscx
296	295	779	4	walzer	779/D779walzer04.mscx
297	296	779	5	walzer	779/D779walzer05.mscx
298	297	779	6	walzer	779/D779walzer06.mscx
299	298	779	7	walzer	779/D779walzer07.mscx
300	299	779	8	walzer	779/D779walzer08.mscx
301	300	779	9	walzer	779/D779walzer09.mscx
302	301	779	10	walzer	779/D779walzer10.mscx
303	302	779	11	walzer	779/D779walzer11.mscx
304	303	779	12	walzer	779/D779walzer12.mscx
305	304	779	13	walzer	779/D779walzer13.mscx
306	305	779	14	walzer	779/D779walzer14.mscx
307	306	779	15	walzer	779/D779walzer15.mscx
308	307	779	16	walzer	779/D779walzer16.mscx
309	308	779	17	walzer	779/D779walzer17.mscx
310	309	779	18	walzer	779/D779walzer18.mscx
311	310	779	19	walzer	779/D779walzer19.mscx
312	311	779	20	walzer	779/D779walzer20.mscx
313	312	779	21	walzer	779/D779walzer21.mscx
314	313	779	22	walzer	779/D779walzer22.mscx
315	314	779	23	walzer	779/D779walzer23.mscx
316	315	779	24	walzer	779/D779walzer24.mscx
317	316	779	25	walzer	779/D779walzer25.mscx
318	317	779	26	walzer	779/D779walzer26.mscx
319	318	779	27	walzer	779/D779walzer27.mscx
320	319	779	28	walzer	779/D779walzer28.mscx
321	320	779	29	walzer	779/D779walzer29.mscx
322	321	779	30	walzer	779/D779walzer30.mscx
323	322	779	31	walzer	779/D779walzer31.mscx
324	323	779	32	walzer	779/D779walzer32.mscx
325	324	779	33	walzer	779/D779walzer33.mscx
326	325	779	34	walzer	779/D779walzer34.mscx
327	326	781	1	ecossaise	781/D781ecossaise01.mscx
328	327	781	2	ecossaise	781/D781ecossaise02.mscx
329	328	781	3	ecossaise	781/D781ecossaise03.mscx
330	329	781	4	ecossaise	781/D781ecossaise04.mscx
331	330	781	5	ecossaise	781/D781ecossaise05.mscx
332	331	781	6	ecossaise	781/D781ecossaise06.mscx
333	332	781	7	ecossaise	781/D781ecossaise07.mscx
334	333	781	8	ecossaise	781/D781ecossaise08.mscx
335	334	781	9	ecossaise	781/D781ecossaise09.mscx
336	335	781	10	ecossaise	781/D781ecossaise10.mscx
337	336	781	11	ecossaise	781/D781ecossaise11.mscx
338	337	782	1	ecossaise	782/D782ecossaise01.mscx
339	338	783	1	deutscher	783/D783deutscher01.mscx
341	339	783	2	deutscher	783/D783deutscher02.mscx
343	340	783	3	deutscher	783/D783deutscher03.mscx
344	341	783	4	deutscher	783/D783deutscher04.mscx
345	342	783	5	deutscher	783/D783deutscher05.mscx
346	343	783	6	deutscher	783/D783deutscher06.mscx
347	344	783	7	deutscher	783/D783deutscher07.mscx
348	345	783	8	deutscher	783/D783deutscher08.mscx
349	346	783	9	deutscher	783/D783deutscher09.mscx
350	347	783	10	deutscher	783/D783deutscher10.mscx
351	348	783	11	deutscher	783/D783deutscher11.mscx
352	349	783	12	deutscher	783/D783deutscher12.mscx
353	350	783	13	deutscher	783/D783deutscher13.mscx
354	351	783	14	deutscher	783/D783deutscher14.mscx
355	352	783	15	deutscher	783/D783deutscher15.mscx
356	353	783	16	deutscher	783/D783deutscher16.mscx
340	354	783	1	ecossaise	783/D783ecossaise01.mscx
342	355	783	2	ecossaise	783/D783ecossaise02.mscx
357	356	790	1	ländler	790/D790ländler01.mscx
358	357	790	3	ländler	790/D790ländler03.mscx
359	358	790	4	ländler	790/D790ländler04.mscx
360	359	790	5	ländler	790/D790ländler05.mscx
361	360	790	6	ländler	790/D790ländler06.mscx
362	361	790	7	ländler	790/D790ländler07.mscx
363	362	790	8	ländler	790/D790ländler08.mscx
364	363	790	9	ländler	790/D790ländler09.mscx
365	364	790	10	ländler	790/D790ländler10.mscx
366	365	790	11	ländler	790/D790ländler11.mscx
367	366	790	12	ländler	790/D790ländler12.mscx
368	367	816	1	ecossaise	816/D816ecossaise01.mscx
369	368	816	2	ecossaise	816/D816ecossaise02.mscx
370	369	816	3	ecossaise	816/D816ecossaise03.mscx
371	370	820	1	deutscher	820/D820deutscher01.mscx
372	371	820	2	deutscher	820/D820deutscher02.mscx
373	372	820	3	deutscher	820/D820deutscher03.mscx
374	373	820	4	deutscher	820/D820deutscher04.mscx
375	374	820	5	deutscher	820/D820deutscher05.mscx
376	375	820	6	deutscher	820/D820deutscher06.mscx
377	376	841	1	deutscher	841/D841deutscher01.mscx
378	377	841	2	deutscher	841/D841deutscher02.mscx
379	378	844	1	walzer	844/D844walzer01.mscx
380	379	924	1	walzer	924/D924walzer01.mscx
381	380	924	2	walzer	924/D924walzer02.mscx
382	381	924	3	walzer	924/D924walzer03.mscx
383	382	924	4	walzer	924/D924walzer04.mscx
384	383	924	5	walzer	924/D924walzer05.mscx
385	384	924	6	walzer	924/D924walzer06.mscx
386	385	924	7	walzer	924/D924walzer07.mscx
387	386	924	8	walzer	924/D924walzer08.mscx
388	387	924	9	walzer	924/D924walzer09.mscx
389	388	924	10	walzer	924/D924walzer10.mscx
390	389	924	11	walzer	924/D924walzer11.mscx
391	390	924	12	walzer	924/D924walzer12.mscx
392	391	925	1	galopp	925/D925galopp01a.mscx
393	392	925	1	trio	925/D925trio01b.mscx
394	393	969	1	walzer	969/D969walzer01.mscx
395	394	969	2	walzer	969/D969walzer02.mscx
396	395	969	3	walzer	969/D969walzer03.mscx
397	396	969	4	walzer	969/D969walzer04.mscx
