id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.6875,,,,,,,0.0625,,,,,,,,,,
23,0.0625,,0.25,,,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,0.5,,,,,0.0625,,,,,,,,,0.0625,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,,,0.0625,,,,,,0.0625,,,,,,,,,,,,,,,,
25,,,0.1875,,,0.125,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.0625,,,0.4375,,,,,,,,,,,,,,,,0.0625,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,0.0625,,0.0625,,,,,,,,,,0.0625,,,,,,,,,,0.5625,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,0.125,0.3125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,0.1875,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,
29,,0.0625,0.25,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0.0625,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,
31,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,0.125,,,,,,,,,,,,,0.25,,,,,,,,,,
32,,0.0625,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,0.0625,,,,,,,,,,0.125,,,,,,,,,,,,,0.25,,,,,,,,,,
33,0.0625,,0.25,,0.1875,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,0.0625,,,,,,,,,0.0625,0.0625,,0.0625,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
34,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.125,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,
36,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,0.0625,,,,,,,,,,,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
