id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
315	10	C	('M3', 'P5')	('M3', 'P5')	()	major	(315, 11)	C	major64
315	11	C	('P4', 'M6')	('P4', 'M6')	('P4', 'M6')	major64	(315, 12)	C	major
315	12	C	('M3', 'P4', 'P5')	('M3', 'P5')	('P4',)	major	(315, 13)	C	major
315	13	C	('A2', 'M3', 'A4', 'P5')	('M3', 'P5')	('A2', 'A4')	major	(315, 14)	C	major
315	14	C	('M3', 'P5')	('M3', 'P5')	()	major	(315, 15)	G	dominant7
315	15	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6')	dominant7	(315, 16)	C	major
315	16	C	('M3', 'P5')	('M3', 'P5')	()	major			
316	1	C	('M3', 'P5')	('M3', 'P5')	()	major	(316, 2)	C	major
316	2	C	('M3', 'P5', 'M6', 'M7')	('M3', 'P5', 'M7')	('M6',)	major	(316, 3)	B	dominant65
316	3	B	('m3', 'D5', 'm6', 'm7')	('m3', 'D5', 'm6')	('m7',)	dominant65	(316, 4)	C	major
316	4	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(316, 5)	C	major
316	5	C	('M3', 'P5')	('M3', 'P5')	()	major	(316, 6)	C	major
316	6	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	('M3',)	major	(316, 7)	C	major
316	7	C	('M2', 'M3', 'P4', 'P5', 'M7')	('M2', 'M3', 'P4', 'P5', 'M7')	()	major	(316, 8)	C	major
316	8	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P4', 'M6')	major	(316, 9)	F	major
316	9	F	('M2', 'M3', 'P5', 'A5', 'M7')	('M2', 'M3', 'P5', 'A5', 'M7')	()	major	(316, 10)	D	minor
316	10	D	('M2', 'm3', 'P4', 'P5', 'M7')	('M2', 'm3', 'P4', 'P5', 'M7')	()	minor	(316, 11)	D	minor
316	11	D	('M2', 'm3', 'P4', 'P5', 'M7')	('M2', 'm3', 'P4', 'P5', 'M7')	('m3',)	minor	(316, 12)	D	dominant43
