id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
5	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
5	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
5	16	1	-1	3/4	3/4	3/4	0	3						15	[17]
5	17	1	-1	3/4	3/4	1/2	0	2	endRepeat					16	[9]
6	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
6	1	0	0	3/4	3/4	3/4	0	2						1	[2]
6	2	0	0	3/4	3/4	3/4	0	2						2	[3]
6	3	0	0	3/4	3/4	3/4	0	2						3	[4]
6	4	0	0	3/4	3/4	3/4	0	2						4	[5]
6	5	0	0	3/4	3/4	3/4	0	2						5	[6]
6	6	0	0	3/4	3/4	3/4	0	2						6	[7]
6	7	0	0	3/4	3/4	3/4	0	2						7	[8]
6	8	0	0	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
6	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
6	10	1	0	3/4	3/4	3/4	0	2						9	[11]
6	11	1	0	3/4	3/4	3/4	0	2						10	[12]
6	12	1	0	3/4	3/4	3/4	0	2						11	[13]
6	13	1	0	3/4	3/4	3/4	0	2						12	[14]
6	14	1	0	3/4	3/4	3/4	0	2						13	[15]
6	15	1	0	3/4	3/4	3/4	0	2						14	[16]
6	16	1	0	3/4	3/4	3/4	0	2						15	[17]
6	17	1	0	3/4	3/4	1/2	0	2	endRepeat					16	[9]
7	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
7	1	0	0	3/4	3/4	3/4	0	2						1	[2]
7	2	0	0	3/4	3/4	3/4	0	2						2	[3]
7	3	0	0	3/4	3/4	3/4	0	2						3	[4]
7	4	0	0	3/4	3/4	3/4	0	2						4	[5]
7	5	0	0	3/4	3/4	3/4	0	2						5	[6]
7	6	0	0	3/4	3/4	3/4	0	2						6	[7]
7	7	0	0	3/4	3/4	3/4	0	2						7	[8]
7	8	0	0	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
7	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
7	10	1	0	3/4	3/4	3/4	0	2						9	[11]
7	11	1	0	3/4	3/4	3/4	0	2						10	[12]
7	12	1	0	3/4	3/4	3/4	0	2						11	[13]
7	13	1	0	3/4	3/4	3/4	0	2						12	[14]
7	14	1	0	3/4	3/4	3/4	0	2						13	[15]
7	15	1	0	3/4	3/4	3/4	0	2						14	[16]
7	16	1	0	3/4	3/4	3/4	0	2						15	[17]
7	17	1	0	3/4	3/4	3/4	0	2						16	[18]
7	18	1	0	3/4	3/4	3/4	0	2						17	[19]
7	19	1	0	3/4	3/4	3/4	0	2						18	[20]
7	20	1	0	3/4	3/4	3/4	0	2						19	[21]
7	21	1	0	3/4	3/4	1/2	0	2	endRepeat					20	[9]
8	0	0	3	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
8	1	0	3	3/4	3/4	3/4	0	2						1	[2]
8	2	0	3	3/4	3/4	3/4	0	2						2	[3]
8	3	0	3	3/4	3/4	3/4	0	2						3	[4]
8	4	0	3	3/4	3/4	3/4	0	3						4	[5]
8	5	0	3	3/4	3/4	3/4	0	3						5	[6]
8	6	0	3	3/4	3/4	3/4	0	3						6	[7]
8	7	0	3	3/4	3/4	3/4	0	3						7	[8]
8	8	0	3	3/4	3/4	1/2	0	3	endRepeat					8	[9, 0]
8	9	1	3	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
8	10	1	3	3/4	3/4	3/4	0	2						9	[11]
8	11	1	3	3/4	3/4	3/4	0	2						10	[12]
8	12	1	3	3/4	3/4	3/4	0	2						11	[13]
8	13	1	3	3/4	3/4	3/4	0	2						12	[14]
8	14	1	3	3/4	3/4	3/4	0	2						13	[15]
8	15	1	3	3/4	3/4	3/4	0	2						14	[16]
8	16	1	3	3/4	3/4	3/4	0	2						15	[17]
8	17	1	3	3/4	3/4	1/2	0	3	endRepeat					16	[9]
9	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
