id	D	op	no	dance	timesig	modulation	length		mm to db	mm in p.1			opening 	closing																																																								
29	41		15	main minuet	3 quarters	major	16		8	4		a	I	IV					4	b	V	IAC				continuos	8	4		b'	V	V										PONTE	4		a'; condensed csq of phr.1+2		I	PAC								modified RB														
30	41		15	trio	3 quarters	major	16		8	4		a	I	IAC5 [b2]					4	a'	V/V	V:PAC				conti.+modu.	8	4		a''	V/II	I/cons. 6/4										FONTE	4		csq of ph.1		I	PAC								RB no int.		cut upbeat to ph.4												
31	41		16	main minuet	3 quarters	major	16		8	4		a	I	IAC5 [b3]					4	based on3-4	V/II	PAC				continuous	8	4		a''	V7/II	II											4				VI	PAC										sequence ph.1b to 2a; ph.3b to 4a		 										
32	41		16	trio	3 quarters	major	16		8	4		a	I	IAC5 [b2]						5-6 = 3-4	II6	V:PAC				continuous	8	4			V7	V										PONTE	4		csq of a; internal IAC-PAC		I	PAC								modified RB														
33	41		17	main minuet	3 quarters	major	16		8	4		a	I	VI					4	a'	IV	V:PAC				continuous	8	4		a''	V	I										stationary not V	4		condensed csq of phr.1+2		I6	PAC										chromatic change												
34	41		17	trio	3 quarters	major	16		8	4		a	I	HC					4	a'	I	V:PAC				mod.per.	8	4		a''	V7	V7										PONTE	4		csq of ph.1		I	PAC								RB		no stop after ph.1												
35	41		18	main minuet	3 quarters	major	16		8	4		a	I	IAC5					4	a'	I	V:PAC				mod.per.	8	4		a''	V	V										PONTE	4		csq of ph.1		I	PAC								RB														
36	41		18	trio	3 quarters	major	15		7			a	I6						undivided?			V:PAC					8	4		a''	V	V										PONTE	4		csq of mm1+4+5+7		I6	PAC																						
37	41		19	main minuet	3 quarters	major	16		8	4		a	I	II					4	a'	II to V	PAC				GPP	8	4		a''	V to I	II										Monte	4		identical to ph.2		V	PAC								simple binary														
38	41		19	trio	3 quarters	major	16		8	4		a	I	IAC3					4	a'	I	V:PAC				sec.mod.per.	8	4		a''1	V6/5	IAC5 [b2]											4		csq of ph.3		V6/5	PAC								simple binary different subtype														
39	41		20	main minuet	3 quarters	major	16		8			a	I									HC					8	4		a'	V6 to I	IAC5 [b2]											4		csq. Of ph.3		V6/5 to I	PAC								simple binary subtype 2														
40	41		20	trio	3 quarters	major	16		8	4		a	V7	IAC5 [b2]					4	a'	V7	PAC				sec.period	8	4		b	IV6/4	IAC5 [b2]											4		csq. Of ph.3		IV6/4	PAC								simple binary														
41	91		1	main minuet	3 quarters	major	16		8	4		a	I	I					4	a'	I6	V:PAC				sentence [st-r]	8	4		a''	V6	I6 /IAC 5 [b3]										stationary not V	4		modif. Csq.of ph.2		I	PAC																						
42	91		1	first trio	3 quarters	major	16		8	4		a	I 	I					4	a'	V	V:PAC				sentence (repet.)	8	4		a''	V	V										PONTE	4		ident. Mm 1 2 7 8		I 	PAC																						
43	91		1	second trio	3 quarters	major	16		8	4		a	I	IAC5 [b2]					4	a'	V	V:PAC				sentence (repet.)	8	4		a''	V	V										PONTE	4		csq. Of ph.1 [cutting]		I	PAC																						
44	91		2	main minuet	3 quarters	major	16		8	4		a	I	IV					4	b	V	PAC				GCP	8	4		a'												Ponte					I	PAC								Ph.2 is csq. Of PH.3														
45	91		2	first trio	3 quarters	major	16		8	4		a	I	HC					4	a'	I	VI:PAC					8	4		a'	V6 to I	I										stationary not V	4		csq. Of ph.1 		I	PAC								RB														
46	91		2	second trio	3 quarters	major	16		8	4		a	I	HC					4	a'	I	PAC				int.p	8	4		a''	V	V										PONTE	4		csq of ph.1, identical to ph. 2		I	PAC								RB														
47	128		1	wiener Deutsche	3 quarters	major	20		8			a	I									PAC					12	4			V	V	Ponte					8	I						repeat of ph.1+2			PAC								ternary 8+4+8														
48	128		2	wiener Deutsche	3 quarters	major	32		12	irregular 2+3+2+1+2+2			I									V:PAC					20	12	4		V	V	Ponte					4	"""I"""			Ponte 2	8		condensed repeat of ph.[1]		I	PAC								ternary 12+12+8						6=8, 3-4=9-10, 3-5=25-26 + 28								
49	128		3	wiener Deutsche	3 quarters	major	36		12	4		a	I	I no motion	4	b	V	I	4	c	V/V	V:PAC					24	12	4		V	II		4	II	II	ponte	4	V	I			12		csq. Of phr.1-3	4	I	I no motion	4	4	V	I	4	V	I	ternary 12+12+12														
50	128		4	wiener Deutsche	3 quarters	major	28		8	4		ab	I	IV					4	ab	V	PAC				GPP	20	12	4	ab	VI	V6/5 of VI		4	Ivm	V6/5 of IV		4	Gr	V			8		repeat of ph.1+2	4	I	IV					4	V	I	ternary 8+12+8														
51	128		5	wiener Deutsche	3 quarters	major	32		12	6?		a	I	V7					6			PAC				continuous	20	8	4		V/VI	VI		4	V	I							12		identical to large-ph.1											ternary 12+8+12														
52	128		6	wiener Deutsche	3 quarters	minor	36		12	 8?												HC					24	10	4		V9	I /cons.6/4		6			repeat + extension			V			12		csq. Of large-ph.1											ternary 12+10+14														
53	128		7	wiener Deutsche	3 quarters	major	24		8	4		a	V7	I					4		I	V:PAC					16	8?															8		modified csq. Of large-ph.1		V								PAC	ternary 8+8+8		unclear boundary m.15			reveresed hyperdownbeats			dislocation 1-2/A =2-3/A'						
54	128		8	wiener Deutsche	3 quarters	major	24		8	4		a	I	V7					4	b	VI	PAC					16	8	4	b'	III#?	pV4/3						4	I	V7			8		rehamon. to large-ph.1	4	I	V7					4	I	PAC	ternary 8+8+8														
55	128		9	wiener Deutsche	3 quarters	major	20		8	4		a	I	I? V?					4	b	V7	PAC					12	4+2b		b'	V	V										Ponte	8-2b		modified repeat of large-ph.1	4-2b	I	Gr					4	cad.6/4	PAC	ternary 8+4[+2b]+8[-2b]		unclear boundary m.13												
56	128		10	wiener Deutsche	3 quarters	to rel. major	36		16	4		a	V/VI		4	a	VI		8	b	III:PAC	III				progressive	20	8	4	a	V/II	II	b	4	post-cad II	II							12													ternary 16+8+12 = 9+4+4		extensions; in last unit a stabilized			split motivic/harmonic division									
57	128		11	wiener Deutsche	3 quarters	major	24		8			a	I									PAC				continuous	16	8	4		V to I	II						4	VII/VI	VI			8		identical to large-ph.1		I	PAC								ternary 8+8+8														
58	128		12	wiener Deutsche	3 quarters	major	20		8	4		a	I		4	b						PAC				continuous	12	8		a inva. rehar.	V 									I			5 with overlap		b		I	PAC								extended simple binary		reversed hyperdownbeats												
59	139			deutscher	3 quarters	major	48		16	4 X2		a	I	I no motion					4X2	a'	V #7 to	HC					32	16	8	a transp.	bVII	bVII:HC						8	repeat				16		csq. Of large-ph.1	8	I	I no motion					8	V #7	PAC	ternary 16+16+16 		internal repeats			A: aabb B:abab C:aabb									
60	139			trio	3 quarters	major	24		8	4		a	I	IAC					4	a'	I	IAC				Sec.P. regi.	16	8	4		bIII	bIII						4	Gr/V	V [weak cad.]			8		identical to large-ph.1											ternary 8+8+8					cad. 6/4 m6 of middle									
61	145	18	waltz 1	waltz	3 quarters	major	32		16	8		a	I	HC					8	b	V/V to V	V no motion				open+post.cad.	16	8			Vb	PAC weak											8		transp. Of phr. 2		V to I	I post-cad.								simple binary abab														
62	145	18	waltz 2	waltz	3 quarters	major	24		16	8		a	I	IAC					8	a'	I	III:PAC				sec.mod.per.	8		4		V/VI	V										fonte	4				VII/II	PAC								simple binary indep.		S2 shorter than S1												
63	145	18	waltz 3	waltz	3 quarters	to par. major	48		24	8		a	I	HC	8	b	III	III:PAC	8	b'	III	III:PAC				abb	24	8		a''	V	V no motion										ponte	16		transp. Of phr. 2X2		I#	I#								simple binary spec. tonal plan					a: once up once down									
64	145	18	waltz 4	waltz	3 quarters	minor	16		8	4		a	I	HC					4	a'	VII7/V/III	III:PAC					8	4			VII6/5 of Vm	IV6										fonte chr.	4		transp. Of phr. 2 modified		VI	PAC								simple binary		  			weak 6/4? Hypermetric upbeat?									
65	145	18	waltz 5	waltz	3 quarters	to rel. major	16		8	4		a	I	IAC					4	a'	I	PAC				sec.period	8	4		b	V/III to III	III:PAC b2											4		csq./repeat Of phr. 3		V/III	III:PAC								simple binary aabb		bb marginal period												
66	145	18	waltz 6	waltz	3 quarters	to par. major	32		16	8	4	a	I	HC	4	a	III	PAC	4	a	I	HC	a''	I	III	int.p.+mod.p. NO REPEAT	16	8	4	a''	V to I	IAC5/Pac b2	a''*	4	VI	VI:PAC no motion		4	VI	VI:PAC no motion		stationary no V	4		major of phr. 1		I#	HC					4	I#	PAC	modified ternary		no repeat of A												
