	TSNE1	TSNE2	dance
202	14.139688	8.330148	ländler
203	14.254277	8.311021	ländler
204	4.9442005	5.378015	ländler
205	5.2463675	3.9418924	ländler
206	14.510509	8.117705	ländler
207	-3.6007488	0.017429994	ländler
208	-6.6755705	10.543955	ländler
209	-2.7434282	6.596961	ländler
210	-11.8225	8.558126	menuett
211	-16.139858	17.978956	trio
212	-13.792687	8.906643	trio
213	-7.5711327	2.9629772	menuett
214	-14.1661415	17.960558	trio
215	-19.215023	12.379793	trio
216	-15.651349	10.56186	menuett
217	-2.3415396	-10.47698	deutscher
218	-1.9246284	0.44468862	deutscher
219	5.8741665	-10.266465	deutscher
220	-4.127658	1.5729232	deutscher
221	-2.059497	-0.71901107	deutscher
222	-0.17467219	0.47706774	deutscher
223	4.3336134	-3.9866445	deutscher
224	-2.4379497	1.29611	deutscher
225	-6.6890483	0.25304255	deutscher
226	-4.7587953	2.8976398	deutscher
227	7.2714305	-11.735751	deutscher
228	-3.35987	-20.30576	deutscher
242	13.918937	-9.857477	menuett
243	6.644501	8.402477	trio
244	15.020408	0.055115204	deutscher
246	4.4371333	6.307672	ländler
247	5.004062	9.268698	ländler
248	-6.8353953	10.518286	ländler
249	-2.768923	5.048459	ländler
250	2.6790392	10.33021	ländler
251	-3.79917	1.6202738	ländler
252	13.015105	7.2318788	ländler
253	10.3908	7.14185	ländler
259	-1.4410111	-19.967207	walzer
260	-10.770326	4.087848	deutscher
261	5.3844995	-15.863747	ländler
262	1.1548531	-4.11831	ländler
263	1.7268633	-16.797499	ländler
264	9.407474	1.3422047	ländler
265	7.849279	4.936364	ländler
266	0.9225858	-15.438581	ländler
267	-0.7410739	-1.4350948	ländler
268	12.398876	3.0069273	ländler
269	8.51031	3.8140168	ländler
270	-5.4579053	-1.5266649	ländler
271	5.1778665	4.8530464	ländler
272	4.052903	0.12251089	ländler
273	7.173263	-16.06407	ländler
274	9.70934	9.629797	ländler
275	-2.7268841	4.47821	ländler
276	6.0253067	-14.451489	ländler
289	7.604597	8.298187	deutscher
290	10.055921	5.54588	deutscher
291	1.818063	-3.9422104	walzer
292	4.0457196	-6.921209	walzer
293	10.186799	2.9973729	walzer
294	10.035787	-3.6569738	walzer
295	4.757016	-0.5899115	walzer
296	4.6850967	-16.163303	walzer
297	-7.789456	-10.058095	walzer
298	10.351708	-5.413294	walzer
299	10.416937	4.3456426	walzer
300	8.585198	3.8955684	walzer
301	10.689154	4.0228167	walzer
302	0.05491888	-6.9039655	walzer
303	1.8019015	-13.958606	walzer
304	2.8624232	-6.6917157	walzer
305	6.470007	-0.14241904	walzer
306	3.7579055	-6.08162	walzer
307	7.902226	-0.8018593	walzer
308	2.9097724	-1.8024724	walzer
309	9.49008	4.289414	walzer
310	3.607301	-9.025858	walzer
311	-0.63742745	-6.0392127	walzer
312	4.200982	-1.1008005	walzer
313	-6.8756275	-9.868103	walzer
314	-7.9733357	-13.451604	walzer
315	3.5268843	-14.920088	walzer
316	5.143128	-3.0069196	walzer
317	-2.4593525	-4.5171165	walzer
318	3.0944467	-11.304067	walzer
319	8.650731	8.677446	walzer
320	3.51438	-0.5358015	walzer
321	-8.717923	-12.193847	walzer
322	2.1881354	-2.072587	walzer
323	3.1597452	1.690277	walzer
324	-5.0383325	3.6944613	walzer
337	-0.9717468	-18.91649	deutscher
338	-8.635762	-0.38995597	deutscher
339	4.336745	4.512991	deutscher
