id	segment_id	chords
14	11	('G', 'major')
14	12	('G', 'major')
14	13	('G', 'major')
14	14	('G', 'major')
14	15	('G', 'major')
14	16	('G', 'dominant7')
14	17	('C', 'suspension')
14	18	('C', 'major')
14	19	('C', 'major64')
14	20	('C', 'major')
14	21	('G', 'dominant7')
14	22	('G', 'dominant7')
14	23	('G', 'dominant7')
14	24	('C', 'M3')
15	1	('C', 'major')
15	2	('C', 'major')
15	3	('G', 'dominant7')
15	4	('C', 'suspension')
15	5	('C', 'major')
15	6	('C', 'major')
15	7	('D', 'dominant7')
15	8	('G', 'dominant7')
15	9	('Ab', 'diminished2')
15	10	('G', 'dominant7')
15	11	('Ab', 'minor6')
15	12	('G', 'dominant7')
15	13	('C', 'major')
15	14	('C', 'major')
15	15	('G', 'dominant7')
15	16	('C', 'M3')
16	1	('A', 'minor')
16	2	('A', 'minor')
16	3	('E', 'dominant7')
16	4	('A', 'minor')
16	5	('A', 'minor')
16	6	('A', 'minor')
16	7	('E', 'dominant7')
16	8	('A', 'minor')
16	9	('B', 'dominant43')
16	10	('A', 'minor')
16	11	('G#', 'major6')
16	12	('E', 'major')
16	13	('B', 'dominant43')
16	14	('A', 'minor')
16	15	('E', 'dominant7')
16	16	('A', 'm3')
17	1	('C', 'major')
17	2	('F', 'major')
17	3	('G', 'dominant7')
17	4	('C', 'major')
17	5	('C', 'dominant2')
17	6	('B', 'minor7')
17	7	('D', 'dominant7')
17	8	('G', 'm3')
17	9	('F', 'minor6')
17	10	('C#', 'dominant65')
17	11	('E', 'minor')
17	12	('B', 'dominant65')
17	13	('F', 'minor6')
17	14	('F', 'minor6')
17	15	('F', 'minor6')
17	16	('G', 'major')
17	17	('C', 'major')
17	18	('F', 'major')
17	19	('C', 'major')
17	20	('C', 'M3')
18	1	('A', 'minor')
18	2	('A', 'minor')
18	3	('A', 'minor')
18	4	('A', 'minor')
18	5	('G#', 'dominant65')
18	6	('G#', 'dominant65')
18	7	('G#', 'dominant65')
18	8	('G#', 'dominant65')
18	9	('A', 'dominant7')
18	10	('D', 'dominant43')
18	11	('E', 'dominant7')
18	12	('A', 'minor')
18	13	('A', 'minor')
18	14	('A', 'minor')
18	15	('A', 'minor')
18	16	('A', 'minor')
18	17	('G#', 'dominant65')
18	18	('G#', 'dominant65')
18	19	('G#', 'dominant65')
18	20	('G#', 'dominant65')
18	21	('A', 'dominant7')
18	22	('D', 'dominant43')
18	23	('E', 'dominant7')
18	24	('A', 'm3')
18	25	('C', 'major')
18	26	('C', 'major')
18	27	('C', 'major')
18	28	('C', 'major')
18	29	('A', 'minor')
18	30	('A', 'minor')
18	31	('F', 'major')
18	32	('E', 'major')
19	1	('C', 'major')
19	2	('B', 'minor')
19	3	('Bb', 'dominant2')
19	4	('F', 'major')
19	5	('F', 'dominant2')
19	6	('C', 'major')
19	7	('D', 'dominant7')
19	8	('G', 'M3')
19	9	('E', 'dominant43')
19	10	('D', 'minor')
19	11	('D', 'dominant43')
19	12	('C', 'major')
19	13	('A', 'dominant43')
19	14	('G', 'major')
19	15	('C', 'major')
19	16	('B', 'minor')
19	17	('Bb', 'dominant2')
19	18	('F', 'major')
19	19	('F', 'dominant2')
19	20	('C', 'major')
19	21	('F', 'dominant2')
19	22	('C', 'unison')
20	1	('C', 'major')
20	2	('C', 'major')
20	3	('C', 'major')
20	4	('C', 'major')
20	5	('G', 'major')
20	6	('C', 'major')
20	7	('G', 'major')
20	8	('G', 'major')
20	9	('A', 'dominant7')
20	10	('Ab', 'diminished64')
20	11	('G', 'dominant7')
20	12	('G', 'major64')
20	13	('B', 'dominant65')
20	14	('G', 'major')
20	15	('C', 'major')
20	16	('C', 'major')
20	17	('C', 'major')
20	18	('C', 'M3')
21	1	('C', 'suspension')
21	2	('E', 'ambiguous')
21	3	('G', 'major')
21	4	('G', 'major')
21	5	('C', 'major')
21	6	('A', 'minor')
21	7	('D', 'dominant7')
21	8	('G', 'major')
21	9	('D', 'dominant7')
21	10	('D', 'minor6')
21	11	('D', 'dominant7')
21	12	('D', 'major64')
21	13	('D', 'dominant7')
21	14	('D', 'minor6')
21	15	('D', 'dominant7')
21	16	('D', 'minor')
21	17	('C', 'suspension')
21	18	('E', 'ambiguous')
21	19	('G', 'major')
21	20	('C', 'major')
22	1	('E', 'minor7')
22	2	('G', 'dominant7')
22	3	('B', 'major6')
22	4	('C', 'major')
22	5	('E', 'minor7')
22	6	('G', 'dominant7')
22	7	('G', 'dominant7')
22	8	('C', 'M3')
22	9	('E', 'dominant43')
22	10	('D', 'minor7')
22	11	('D', 'dominant43')
22	12	('C', 'major')
22	13	('E', 'minor7')
22	14	('G', 'dominant7')
22	15	('G', 'dominant7')
22	16	('C', 'M3')
23	1	('C', 'major')
23	2	('B', 'minor7')
23	3	('A', 'dominant43')
23	4	('G', 'major')
23	5	('F', 'major')
23	6	('F', 'major')
23	7	('G', 'dominant7')
23	8	('C', 'M3')
23	9	('G#', 'diminished7')
23	10	('A', 'minor')
23	11	('G#', 'dominant65')
23	12	('A', 'minor')
23	13	('F#', 'minor7')
23	14	('G', 'major')
23	15	('F#', 'dominant65')
23	16	('F', 'dominant2')
23	17	('E', 'major6')
23	18	('F', 'dominant2')
23	19	('G', 'dominant7')
23	20	('C', 'M3')
24	1	('A', 'minor')
24	2	('E', 'dominant7')
24	3	('A', 'minor')
24	4	('E', 'dominant7')
24	5	('A', 'minor')
24	6	('A', 'dominant43')
24	7	('G', 'dominant7')
24	8	('C', 'M3')
24	9	('B', 'dominant65')
24	10	('G', 'dominant7')
24	11	('G#', 'dominant65')
24	12	('E', 'major')
24	13	('A', 'minor')
24	14	('E', 'dominant7')
24	15	('E', 'dominant7')
24	16	('A', 'minor')
25	1	('C', 'dominant7')
25	2	('A', 'minor7')
25	3	('F#', 'dominant65')
25	4	('G', 'major')
25	5	('Bb', 'dominant2')
25	6	('G', 'dominant43')
25	7	('F', 'major')
25	8	('G', 'dominant7')
25	9	('C', 'M3')
25	10	('Bb', 'minor6')
25	11	('G', 'dominant2')
25	12	('F', 'major')
25	13	('E', 'major')
