	overall	right_hand	left_hand
TitiTitiTiti	1665	1376	479
TaTaTa	1621	1180	4439
TaTitiTa	579	341	119
TaTitiTiti	506	345	42
TitiTitiTa	349	329	4
TaTaTiti	233	139	16
TaTa	224	28	539
TitiTaTa	207	160	22
Tao	199	377	334
TaoTa	166	553	511
TaTaTimgi	139	97	26
TaoTiti	59	162	30
TaitiTa	45	242	17
Taoa	39	142	100
TaTao	36	93	132
TaoTimgi	30	116	40
Ta	29	115	70
TaitiTiti	25	233	43
