mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	-1	3/4	1/4	1/2			1			firstMeasure					2
2	1	-1	3/4	3/4	0											3
3	2	-1	3/4	1/2	0											4
4	2	-1	3/4	1/4	1/2			1			start					5
5	3	-1	3/4	3/4	0											6
6	4	-1	3/4	3/4	0											7
7	5	-1	3/4	3/4	0											8
8	6	-1	3/4	3/4	0					line						9
9	7	-1	3/4	3/4	0											10
10	8	-1	3/4	3/4	0											11
11	9	-1	3/4	3/4	0											12
12	10	-1	3/4	1/2	0						end					4, 13
13	10	-1	3/4	1/4	1/2			1			start					14
14	11	-1	3/4	3/4	0											15
15	12	-1	3/4	3/4	0											16
16	13	-1	3/4	3/4	0					line						17
17	14	-1	3/4	3/4	0											18
18	15	-1	3/4	3/4	0											19
19	16	-1	3/4	3/4	0											20
20	17	-1	3/4	3/4	0											21
21	18	-1	3/4	3/4	0											22
22	19	-1	3/4	3/4	0					line						23
23	20	-1	3/4	3/4	0											24
24	21	-1	3/4	3/4	0											25
25	22	-1	3/4	3/4	0											26
26	23	-1	3/4	3/4	0											27
27	24	-1	3/4	3/4	0											28
28	25	-1	3/4	3/4	0					line						29
29	26	-1	3/4	3/4	0											30
30	27	-1	3/4	3/4	0											31
31	28	-1	3/4	3/4	0											32
32	29	-1	3/4	3/4	0											33
33	30	-1	3/4	3/4	0											34
34	31	-1	3/4	3/4	0											35
35	32	-1	3/4	3/4	0					line						36
36	33	-1	3/4	3/4	0											37
37	34	-1	3/4	3/4	0											38
38	35	-1	3/4	3/4	0											39
39	36	-1	3/4	3/4	0											40
40	37	-1	3/4	3/4	0											41
41	38	-1	3/4	1/2	0					line	end	fine				13
