mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	2	3/4	1/4	1/2			1			firstMeasure					2
2	1	2	3/4	3/4	0											3
3	2	2	3/4	3/4	0											4
4	3	2	3/4	3/4	0											5
5	4	2	3/4	3/4	0											6
6	5	2	3/4	3/4	0											7
7	6	2	3/4	3/4	0					line						8
8	7	2	3/4	3/4	0											9
9	8	2	3/4	3/4	0											10
10	9	2	3/4	3/4	0											11
11	10	2	3/4	3/4	0											12
12	11	2	3/4	3/4	0											13
13	12	2	3/4	3/4	0											14
14	13	2	3/4	3/4	0											15
15	14	2	3/4	3/4	0											16
16	15	2	3/4	3/4	0											17
17	16	2	3/4	1/2	0					line	end					1, 18
18	16	2	3/4	1/4	1/2			1	start-repeat		start					19
19	17	2	3/4	3/4	0											20
20	18	2	3/4	3/4	0											21
21	19	2	3/4	3/4	0											22
22	20	2	3/4	3/4	0											23
23	21	2	3/4	3/4	0											24
24	22	2	3/4	3/4	0					line						25
25	23	2	3/4	3/4	0											26
26	24	2	3/4	3/4	0											27
27	25	2	3/4	3/4	0											28
28	26	2	3/4	3/4	0											29
29	27	2	3/4	3/4	0											30
30	28	2	3/4	3/4	0											31
31	29	2	3/4	3/4	0											32
32	30	2	3/4	3/4	0											33
33	31	2	3/4	3/4	0											34
34	32	2	3/4	1/2	0					line	end	fine				18
