mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-4	3/4	3/8	3/8			1			firstMeasure	2
2	1	-4	3/4	3/4	0						start	3
3	2	-4	3/4	3/4	0							4
4	3	-4	3/4	3/4	0							5
5	4	-4	3/4	3/4	0							6
6	5	-4	3/4	3/4	0							7
7	6	-4	3/4	3/4	0							8
8	7	-4	3/4	3/4	0							9
9	8	-4	3/4	3/4	0						end	2, 10
10	9	-4	3/4	3/4	0						start	11
11	10	-4	3/4	3/4	0							12
12	11	-4	3/4	3/4	0							13
13	12	-4	3/4	3/4	0							14
14	13	-4	3/4	3/4	0							15
15	14	-4	3/4	3/4	0							16
16	15	-4	3/4	3/4	0							17
17	16	-4	3/4	3/4	0						end	10, -1
