mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	2/4	1/2	0						firstMeasure	2
2	2	-6	2/4	1/2	0							3
3	3	-6	2/4	1/2	0							4
4	4	-6	2/4	1/2	0							5
5	5	-6	2/4	1/2	0							6
6	6	-6	2/4	1/2	0							7
7	7	-6	2/4	1/2	0							8
8	8	-6	2/4	1/2	0					line	end	1, 9
9	9	-6	2/4	1/2	0				start-repeat		start	10
10	10	-6	2/4	1/2	0							11
11	11	-6	2/4	1/2	0							12
12	12	-6	2/4	1/2	0							13
13	13	-6	2/4	1/2	0							14
14	14	-6	2/4	1/2	0							15, 17
15	15	-6	2/4	1/2	0	1						16
16	16	-6	2/4	1/2	0	1					end	9
17	16	-6	2/4	1/2	0	2		1				18
18	16	-6	2/4	1/2	0	2		1	end	line	lastMeasure	-1
