mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-4	2/4	1/2	0						firstMeasure	2
2	2	-4	2/4	1/2	0							3
3	3	-4	2/4	1/2	0							4
4	4	-4	2/4	1/2	0						end	1, 5
5	5	-4	2/4	1/2	0						start	6
6	6	-4	2/4	1/2	0							7
7	7	-4	2/4	1/2	0							8
8	8	-4	2/4	1/2	0						end	5, -1
