mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	2	3/4	3/4	0						firstMeasure	2
2	2	2	3/4	3/4	0							3
3	3	2	3/4	3/4	0							4
4	4	2	3/4	3/4	0							5
5	5	2	3/4	3/4	0					line		6
6	6	2	3/4	3/4	0							7
7	7	2	3/4	3/4	0							8
8	8	2	3/4	3/4	0						end	1, 9
9	9	2	3/4	3/4	0						start	10
10	10	2	3/4	3/4	0							11
11	11	2	3/4	3/4	0					line		12
12	12	2	3/4	3/4	0							13
13	13	2	3/4	3/4	0							14
14	14	2	3/4	3/4	0							15
15	15	2	3/4	3/4	0							16
16	16	2	3/4	3/4	0						end	9, -1
