mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-6	3/4	3/4	0						firstMeasure	2
2	2	-6	3/4	3/4	0							3
3	3	-6	3/4	3/4	0							4
4	4	-6	3/4	3/4	0							5
5	5	-6	3/4	3/4	0					line		6
6	6	-6	3/4	3/4	0							7
7	7	-6	3/4	3/4	0							8
8	8	-6	3/4	3/4	0						end	1, 9
9	9	-6	3/4	3/4	0						start	10
10	10	-6	3/4	3/4	0					line		11
11	11	-6	3/4	3/4	0							12
12	12	-6	3/4	3/4	0							13
13	13	-6	3/4	3/4	0							14
14	14	-6	3/4	3/4	0							15
15	15	-6	3/4	3/4	0							16
16	16	-6	3/4	3/4	0						end	9, -1
