mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	3	3/4	1/4	1/2			1			firstMeasure					2
2	1	3	3/4	3/4	0											3
3	2	3	3/4	3/4	0											4
4	3	3	3/4	3/4	0											5
5	4	3	3/4	3/4	0											6
6	5	3	3/4	3/4	0											7
7	6	3	3/4	3/4	0											8
8	7	3	3/4	3/4	0					line						9
9	8	3	3/4	3/4	0											10
10	9	3	3/4	3/4	0											11
11	10	3	3/4	3/4	0											12
12	11	3	3/4	3/4	0											13
13	12	3	3/4	3/4	0											14
14	13	3	3/4	3/4	0											15
15	14	3	3/4	3/4	0											16
16	15	3	3/4	3/4	0											17
17	16	3	3/4	1/2	0					line	end					1, 18
18	16	3	3/4	1/4	1/2			1	start-repeat		start					19
19	17	3	3/4	3/4	0											20
20	18	3	3/4	3/4	0											21
21	19	3	3/4	3/4	0											22
22	20	3	3/4	3/4	0											23
23	21	3	3/4	3/4	0											24
24	22	3	3/4	3/4	0											25
25	23	3	3/4	3/4	0											26
26	24	3	3/4	3/4	0					line						27
27	25	3	3/4	3/4	0											28
28	26	3	3/4	3/4	0											29
29	27	3	3/4	3/4	0											30
30	28	3	3/4	3/4	0											31
31	29	3	3/4	3/4	0											32
32	30	3	3/4	3/4	0											33
33	31	3	3/4	3/4	0											34
34	32	3	3/4	3/4	0					line						35
35	33	3	3/4	3/4	0											36
36	34	3	3/4	3/4	0											37
37	35	3	3/4	3/4	0											38
38	36	3	3/4	3/4	0											39
39	37	3	3/4	3/4	0											40
40	38	3	3/4	3/4	0											41
41	39	3	3/4	3/4	0											42
42	40	3	3/4	1/2	0					line	end	fine				18
