mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	3	3/4	1/4	1/2			1			firstMeasure	2
2	1	3	3/4	3/4	0						start	3
3	2	3	3/4	3/4	0							4
4	3	3	3/4	3/4	0							5
5	4	3	3/4	3/4	0							6
6	5	3	3/4	3/4	0							7
7	6	3	3/4	3/4	0							8, 10
8	7	3	3/4	3/4	0	1						9
9	8	3	3/4	3/4	0	1				line	end	2
10	7	3	3/4	3/4	0	2	-2					11
11	8	3	3/4	3/4	0	2						12
12	9	3	3/4	3/4	0						start	13
13	10	3	3/4	3/4	0							14
14	11	3	3/4	3/4	0							15
15	12	3	3/4	3/4	0							16
16	13	3	3/4	3/4	0					line		17
17	14	3	3/4	3/4	0							18
18	15	3	3/4	3/4	0							19
19	16	3	3/4	3/4	0							20
20	17	3	3/4	3/4	0							21
21	18	3	3/4	3/4	0							22
22	19	3	3/4	3/4	0							23
23	20	3	3/4	3/4	0					line		24
24	21	3	3/4	3/4	0							25
25	22	3	3/4	3/4	0							26
26	23	3	3/4	3/4	0							27
27	24	3	3/4	3/4	0							28
28	25	3	3/4	3/4	0							29, 30
29	26	3	3/4	3/4	0	1					end	12
30	26	3	3/4	1/2	0	2		1	double	section	lastMeasure	-1
