mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-4	3/4	1/4	1/2			1			firstMeasure	2
2	1	-4	3/4	3/4	0							3
3	2	-4	3/4	3/4	0							4
4	3	-4	3/4	3/4	0							5
5	4	-4	3/4	3/4	0							6
6	5	-4	3/4	3/4	0							7
7	6	-4	3/4	3/4	0							8
8	7	-4	3/4	3/4	0							9
9	8	-4	3/4	1/2	0						end	1, 10
10	8	-4	3/4	1/4	1/2			1			start	11
11	9	-4	3/4	3/4	0							12
12	10	-4	3/4	3/4	0							13
13	11	-4	3/4	3/4	0							14
14	12	-4	3/4	3/4	0							15
15	13	-4	3/4	3/4	0							16
16	14	-4	3/4	3/4	0							17
17	15	-4	3/4	3/4	0							18
18	16	-4	3/4	1/2	0						end	10, 19
19	16	-4	3/4	1/4	1/2			1				20
20	17	-4	3/4	3/4	0							21
21	18	-4	3/4	3/4	0							22
22	19	-4	3/4	3/4	0							23
23	20	-4	3/4	3/4	0							24
24	21	-4	3/4	3/4	0							25
25	22	-4	3/4	3/4	0							26
26	23	-4	3/4	3/4	0							27
27	24	-4	3/4	3/4	0							28
28	25	-4	3/4	3/4	0							29
29	26	-4	3/4	3/4	0							30
30	27	-4	3/4	3/4	0							31
31	28	-4	3/4	3/4	0							32
32	29	-4	3/4	3/4	0							33
33	30	-4	3/4	3/4	0							34
34	31	-4	3/4	3/4	0							35
35	32	-4	3/4	1/2	0				end		lastMeasure	-1
