mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	2	3/4	5/16	7/16			1			firstMeasure	2
2	1	2	3/4	3/4	0							3
3	2	2	3/4	3/4	0							4
4	3	2	3/4	3/4	0					line		5
5	4	2	3/4	3/4	0							6
6	5	2	3/4	3/4	0							7
7	6	2	3/4	3/4	0							8
8	7	2	3/4	3/4	0							9
9	8	2	3/4	7/16	0					line	end	1, 10
10	8	2	3/4	5/16	7/16			1	start-repeat		start	11
11	9	2	3/4	3/4	0							12
12	10	2	3/4	3/4	0							13
13	11	2	3/4	3/4	0							14
14	12	2	3/4	3/4	0					line		15
15	13	2	3/4	3/4	0							16
16	14	2	3/4	3/4	0							17
17	15	2	3/4	3/4	0							18
18	16	2	3/4	7/16	0						end	10, -1
