mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-4	3/4	3/8	3/8			1			firstMeasure	2
2	1	-4	3/4	3/4	0							3
3	2	-4	3/4	3/4	0							4
4	3	-4	3/4	3/4	0							5
5	4	-4	3/4	3/4	0							6
6	5	-4	3/4	3/4	0							7
7	6	-4	3/4	3/4	0					line		8
8	7	-4	3/4	3/4	0							9, 10
9	8	-4	3/4	3/8	0	1					end	1
10	8	-4	3/4	1/2	0	2		1				11
11	8	-4	3/4	1/4	1/2			1			start	12
12	9	-4	3/4	3/4	0							13
13	10	-4	3/4	3/4	0							14
14	11	-4	3/4	3/4	0					line		15
15	12	-4	3/4	3/4	0							16
16	13	-4	3/4	3/4	0							17
17	14	-4	3/4	3/4	0							18
18	15	-4	3/4	3/4	0							19
19	16	-4	3/4	1/2	0						end	11, -1
