mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-4	2/4	1/2	0						firstMeasure	2
2	2	-4	2/4	1/2	0							3
3	3	-4	2/4	1/2	0							4
4	4	-4	2/4	1/2	0							5
5	5	-4	2/4	1/2	0							6
6	6	-4	2/4	1/2	0							7
7	7	-4	2/4	1/2	0							8, 9
8	8	-4	2/4	1/2	0	1					end	1
9	8	-4	2/4	1/2	0	2		1	double	line		10
10	9	-4	2/4	1/2	0				start-repeat		start	11
11	10	-4	2/4	1/2	0							12
12	11	-4	2/4	1/2	0							13
13	12	-4	2/4	1/2	0							14
14	13	-4	2/4	1/2	0							15
15	14	-4	2/4	1/2	0							16
16	15	-4	2/4	1/2	0							17
17	16	-4	2/4	1/2	0					line	end	10, -1
