mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/4	3/4	0						firstMeasure	2
2	2	-1	3/4	3/4	0							3
3	3	-1	3/4	3/4	0							4
4	4	-1	3/4	3/4	0							5
5	5	-1	3/4	3/4	0							6
6	6	-1	3/4	3/4	0							7
7	7	-1	3/4	3/4	0							8
8	8	-1	3/4	3/4	0							9
9	9	-1	3/4	3/4	0							10
10	10	-1	3/4	3/4	0							11
11	11	-1	3/4	3/4	0				double	line	lastMeasure	-1
