mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	3	3/4	1/4	1/2			1			firstMeasure	2
2	1	3	3/4	3/4	0						start	3
3	2	3	3/4	3/4	0							4
4	3	3	3/4	3/4	0							5
5	4	3	3/4	3/4	0							6
6	5	3	3/4	3/4	0							7
7	6	3	3/4	3/4	0							8
8	7	3	3/4	3/4	0							9, 10
9	8	3	3/4	3/4	0	1					end	2
10	8	3	3/4	3/4	0	2		1				11
11	9	3	3/4	3/4	0						start	12
12	10	3	3/4	3/4	0							13
13	11	3	3/4	3/4	0							14
14	12	3	3/4	3/4	0							15
15	13	3	3/4	3/4	0							16
16	14	3	3/4	3/4	0							17
17	15	3	3/4	3/4	0							18, 19
18	16	3	3/4	3/4	0	1					end	11
19	16	3	3/4	1/2	0	2		1	end		lastMeasure	-1
